,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
85,7,8,4,5,Achievers,52422330.0,success,5,Services,4715.0,1399.0,27,North America
86,7,5,5,5,Achillion Pharmaceuticals,91100000.0,success,2,Health Care & Biotechnology,1488.0,3124.0,24,North America
87,5,2,4,3,Blackwave,28000000.0,success,3,Community and Lifestyle,334.0,1034.0,16,North America
88,2,1,0,0,Acompli,7300000.0,success,1,Information Technology,3.0,0.0,9,North America
89,7,2,4,4,Acopia Networks,75000000.0,success,3,Information Technology,505.0,1125.0,20,North America
90,2,8,0,5,Acoustic Technologies,7974296.0,success,1,Information Technology,5580.0,0.0,24,North America
91,1,2,0,0,Acquaintable,40000.0,success,1,Information Technology,372.0,0.0,10,North America
92,2,8,3,5,Actinium Pharmaceuticals,7000720.0,success,2,Health Care & Biotechnology,4324.0,810.0,22,North America
93,7,1,5,5,Action Engine,58200000.0,success,5,Electronics,90.0,2617.0,22,North America
94,1,6,0,1,Active Junky,1300000.0,success,1,Commerce & Marketing,1771.0,0.0,12,North America
95,5,2,4,1,Active Storage,16400000.0,failure,4,Information Technology,398.0,1029.0,14,North America
96,6,7,0,6,Active Voice Corporation,38730470.0,success,1,Community and Lifestyle,2860.0,0.0,39,North America
97,8,1,5,5,ACTIVE Network,214208700.0,success,10,Information Technology,31.0,3754.0,23,North America
98,2,8,0,6,ActivIdentity,5422959.0,success,1,Information Technology,9128.0,0.0,37,North America
99,5,5,3,5,Actona Technologies,28000000.0,success,3,Services,958.0,570.0,22,North America
100,3,8,2,5,Acusphere,10000000.0,success,2,Health Care & Biotechnology,6761.0,231.0,29,North America
101,5,0,4,4,Ad Infuse,17600000.0,success,3,Media & Publishing,0.0,1117.0,17,North America
102,1,0,0,1,Ad Knights,50000.0,failure,1,Media & Publishing,0.0,0.0,12,North America
103,2,1,2,1,Ad Summos,4549999.0,failure,2,Media & Publishing,83.0,433.0,12,North America
104,7,2,4,0,Adallom,49500000.0,success,3,Information Technology,335.0,864.0,10,North America
105,8,7,0,5,Adam Aircraft,105000000.0,failure,1,Services,3458.0,0.0,24,North America
106,7,7,4,5,Adamas Pharmaceuticals,82000000.0,success,4,Health Care & Biotechnology,1947.0,1614.0,22,North America
107,5,7,4,3,Adamis Pharmaceuticals,16377078.0,success,5,Health Care & Biotechnology,2287.0,866.0,16,North America
108,7,1,4,3,"Adap.tv, now a part of ONE by AOL",48500000.0,success,5,Media & Publishing,92.0,1516.0,16,North America
109,3,6,0,5,Adapt Technologies,10000000.0,success,1,Media & Publishing,1623.0,0.0,21,North America
110,5,5,2,0,"Adaptive Medias, Inc.",12400000.0,success,3,Media & Publishing,985.0,235.0,10,North America
111,4,2,2,1,Adaptive TCR,10350000.0,failure,2,Health Care & Biotechnology,449.0,441.0,13,North America
112,5,1,4,2,AdaptiveBlue,24020000.0,success,4,Media & Publishing,50.0,1786.0,15,North America
113,3,7,0,2,Adaptiv.io,10000000.0,success,1,Information Technology,2109.0,0.0,15,North America
114,5,5,4,2,Adaptivity,24845956.0,success,6,Information Technology,1038.0,1157.0,15,North America
115,1,0,0,0,adBidtise,150000.0,failure,1,Media & Publishing,0.0,0.0,8,North America
116,7,3,5,4,adBrite,40400000.0,success,4,Media & Publishing,609.0,2799.0,19,North America
117,1,1,0,0,AdBuddy Inc,100000.0,failure,1,Media & Publishing,80.0,0.0,10,North America
118,5,8,4,6,AdCare Health Systems,36043700.0,success,7,Health Care & Biotechnology,8018.0,1946.0,34,North America
119,1,0,0,1,Adcast,3500.0,failure,1,Media & Publishing,0.0,0.0,13,North America
120,8,2,5,4,Adchemy,119191000.0,success,7,Media & Publishing,405.0,2415.0,18,North America
121,8,5,4,4,Adconion Media Group,114000000.0,success,3,Media & Publishing,760.0,1559.0,17,North America
122,1,8,0,6,Addus HealthCare,1240000.0,success,1,Health Care & Biotechnology,11544.0,0.0,43,North America
123,2,7,0,5,Adea,5000000.0,success,1,Services,4018.0,0.0,26,North America
124,2,5,0,4,AdECN,3100000.0,success,1,Media & Publishing,1127.0,0.0,19,North America
125,1,2,2,0,Adept Cloud,1015000.0,success,2,Information Technology,488.0,31.0,11,North America
126,7,5,5,3,Adesto Technologies,56381908.0,success,7,Media & Publishing,1209.0,2331.0,16,North America
127,2,2,0,1,AdexLink,2000000.0,failure,1,Media & Publishing,298.0,0.0,12,North America
128,1,1,0,1,Adeyoh,12000.0,failure,1,Information Technology,92.0,0.0,13,North America
129,1,0,2,1,AdGrok,470000.0,success,2,Media & Publishing,0.0,310.0,12,North America
130,1,2,0,0,Adhere2Care,300000.0,failure,1,Health Care & Biotechnology,453.0,0.0,11,North America
131,1,2,0,0,Adherence Compliance,60000.0,failure,1,Services,215.0,0.0,8,North America
132,6,8,0,5,ADI Engineering,38730470.0,success,1,Community and Lifestyle,7983.0,0.0,32,North America
133,5,7,0,5,Adiana,23000000.0,success,1,Health Care & Biotechnology,3158.0,0.0,25,North America
134,5,0,2,3,Adify,27000000.0,success,2,Media & Publishing,0.0,260.0,16,North America
135,1,5,2,1,Adility,100000.0,success,2,Media & Publishing,880.0,67.0,13,North America
136,1,2,2,0,Adjacent Applications,256000.0,failure,2,Government and Military,168.0,382.0,11,North America
137,2,1,2,1,Adku,1540000.0,success,3,Information Technology,92.0,403.0,12,North America
