,location,name,url,score,description,latitude,longitude
10887,Ariege,"Gîte Montoulieu, 5 pièces, 9 personnes - FR-1-419-467",https://www.booking.com/hotel/fr/gite-montoulieu-5-pieces-9-personnes-fr-1-419-467.fr.html,,"Le Gîte Montoulieu, 5 pièces, 9 personnes - FR-1-419-467 est situé à Montoulieu. Vous séjournerez à 8 km de Foix. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place. ",42.899606,1.6226366
10888,Ariege,"Gîte Aulos, 4 pièces, 6 personnes - FR-1-419-462",https://www.booking.com/hotel/fr/gite-aulos-4-pieces-6-personnes-fr-1-419-462.fr.html,,"Gîte Aulos, 4 Pièces, 6 Personnes Le FR-1-419-462 est situé à Aulos. Vous séjournerez à 44 km de Font-Romeu et bénéficierez d'un parking privé gratuit. ",42.7908868,1.6765561
10889,Ariege,"Gîte Ercé, 6 pièces, 11 personnes - FR-1-419-458",https://www.booking.com/hotel/fr/gite-erce-6-pieces-11-personnes-fr-1-419-458.fr.html,,"Le Gîte Ercé, 6 pièces, 11 personnes - FR-1-419-458 est situé à Ercé. Vous séjournerez à 38 km d'Arties. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place. ",42.8483052,1.2899312
10890,Ariege,Ouxis,https://www.booking.com/hotel/fr/ouxis.fr.html,,"Situé à Orlu, en Midi-Pyrénées, l'Ouxis dispose d'une terrasse et offre une vue sur la rivière. Vous séjournerez à 41 km de Soldeu et bénéficierez d'un parking privé gratuit. ",42.7010817857497,1.88865023809808
10891,Ariege,"Appartement Brassac, 4 pièces, 6 personnes - FR-1-419-438",https://www.booking.com/hotel/fr/gite-brassac-4-pieces-6-personnes-fr-1-419-438.fr.html,,"Le Gîte Brassac, 4 pièces, 6 personnes - FR-1-419-438 est situé à Brassac. Vous séjournerez à 7 km de Foix et bénéficierez d'un parking privé gratuit. ",42.947871,1.532712
10892,Ariege,"Gîte Capoulet-et-Junac, 4 pièces, 4 personnes - FR-1-419-466",https://www.booking.com/hotel/fr/gite-capoulet-et-junac-4-pieces-4-personnes-fr-1-419-466.fr.html,,"Situé à Capoulet-et-Junac, en Midi-Pyrénées, le Gîte Capoulet-et-Junac, 4 pièces, 4 personnes Le FR-1-419-466 possède un balcon. Cette maison de vacances dispose d'une cuisine entièrement équipée. ",42.7930882,1.5751249
10893,Ariege,chalet de guzet neige,https://www.booking.com/hotel/fr/chalet-de-guzet-neige.fr.html,,"Situé à Ustou, le Chalet de guzet neige propose un accès skis aux pieds et une terrasse. ",42.786841801352,1.299188287805
10894,Ariege,"Gîte Aleu, 2 pièces, 2 personnes - FR-1-419-469",https://www.booking.com/hotel/fr/gite-aleu-2-pieces-2-personnes-fr-1-419-469.fr.html,,"Situé à Aleu, le Gîte Aleu, 2 pièces, 2 personnes - FR-1-419-469 propose un hébergement avec une piscine privée et une vue sur le jardin. Vous séjournerez à 38 km d'Arties. ",42.9043,1.24396
10895,Ariege,Maison de vacances,https://www.booking.com/hotel/fr/maison-de-vacances-bompas.fr.html,,"Située à Bompas, en Midi-Pyrénées, la Maison de vacances dispose d'une terrasse et offre une vue sur le jardin. Cet hébergement climatisé se trouve à 45 km d'Arinsal. ",42.865077,1.609186
10896,Ariege,Le pré de madame,https://www.booking.com/hotel/fr/le-pre-de-madame-lavelanet.fr.html, 5.5 ,"Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, l'établissement Le pré de madame est situé à Lavelanet. Offrant une vue sur le jardin, il se trouve à 26 km de Foix. ",42.9305780266943,1.84523926265024
